City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
202,Bredasdorp,ZA,-34.5322,20.0403,44.94,83,0,6.2,clear sky
203,Tadine,NC,-21.55,167.8833,72.91,60,77,13.47,broken clouds
204,Margate,GB,51.3813,1.3862,64.87,82,13,1.99,few clouds
205,Osorno,CL,-40.5667,-73.15,41.31,100,75,2.3,mist
206,Severo-Kurilsk,RU,50.6789,156.125,52.27,94,100,15.23,moderate rain
207,Tautira,PF,-17.7333,-149.15,86.02,67,1,16.15,clear sky
208,Bukene,TZ,-4.2333,32.8833,68.68,60,90,5.5,overcast clouds
209,Penzance,GB,50.1186,-5.5371,59.7,95,6,8.66,clear sky
210,Rozhyshche,UA,50.9154,25.2691,71.13,79,39,6.96,scattered clouds
211,Kabompo,ZM,-13.5927,24.2008,57.36,50,43,4.38,scattered clouds
212,Mount Isa,AU,-20.7333,139.5,82.17,42,79,14.97,broken clouds
213,Aljezur,PT,37.3191,-8.8033,66.69,69,10,6.4,clear sky
214,Barra Do Garcas,BR,-15.89,-52.2567,70.59,39,0,1.86,clear sky
215,Marystown,CA,47.1666,-55.1483,54.21,81,97,9.55,overcast clouds
216,Lata,PT,40.1629,-8.3327,72.05,60,51,3.53,broken clouds
217,Kibala,TD,9.1104,18.3463,70.52,95,100,2.89,light rain
218,Cassilandia,BR,-19.1133,-51.7342,66.81,40,0,3.13,clear sky
219,Talara,PE,-4.5772,-81.2719,65.79,87,61,15.93,broken clouds
220,Lagoa,PT,39.05,-27.9833,68.49,83,100,14.2,overcast clouds
221,Kodiak,US,57.79,-152.4072,56.71,67,1,6.91,clear sky
222,Khani,GE,41.9563,42.9566,60.37,91,100,4.43,overcast clouds
223,Oyem,GA,1.5995,11.5793,65.93,99,100,2.93,light rain
224,Ixtapa,MX,20.7,-105.2,88.83,62,75,9.22,broken clouds
225,Dalvik,IS,65.9702,-18.5286,50.61,83,100,4.36,overcast clouds
226,Cayenne,GF,4.9333,-52.3333,79.09,89,75,1.01,broken clouds
227,Maragogi,BR,-9.0122,-35.2225,74.89,88,42,11.56,scattered clouds
228,Nuevo Laredo,MX,27.4763,-99.5164,89.83,60,75,11.5,thunderstorm
229,Mayo,US,38.8876,-76.5119,82.54,85,1,1.99,clear sky
230,Tungor,RU,53.3808,142.9564,76.96,44,29,7.63,scattered clouds
231,Newala,TZ,-10.9431,39.2787,59.05,95,0,3.09,clear sky
232,Dullewala,PK,31.8359,71.4362,88.97,59,14,5.66,few clouds
233,Padang,ID,-0.9492,100.3543,75.25,68,54,2.73,broken clouds
234,Roma,US,43.2128,-75.4557,75.06,83,1,3.44,clear sky
235,Havoysund,NO,70.9963,24.6622,50.88,87,0,10.02,clear sky
236,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,1.03,overcast clouds
237,Borba,BR,-4.3878,-59.5939,77.52,83,71,2.75,broken clouds
238,Juye,CN,35.3947,116.0883,82.98,73,100,4.27,overcast clouds
239,Henties Bay,NA,-22.116,14.2845,58.08,61,0,2.75,clear sky
240,Palana,RU,59.1167,159.9667,49.82,93,100,2.57,overcast clouds
241,Sao Filipe,CV,14.8961,-24.4956,74.21,89,67,9.95,broken clouds
242,Pangnirtung,CA,66.1451,-65.7125,48.74,71,100,6.93,overcast clouds
243,Chivay,PE,-15.6383,-71.6011,48.0,46,49,5.39,scattered clouds
244,Newport,GB,51.5877,-2.9984,62.08,83,12,5.01,few clouds
245,Barrow,US,71.2906,-156.7887,37.42,75,75,10.36,broken clouds
246,Saldanha,ZA,-33.0117,17.9442,49.08,69,0,4.79,clear sky
247,Sudbury,CA,46.49,-80.99,64.63,96,97,4.65,overcast clouds
248,Esperance,AU,-33.8667,121.9,51.64,70,86,35.57,moderate rain
249,Kavaratti,IN,10.5669,72.642,82.72,80,98,18.97,overcast clouds
250,Marsh Harbour,BS,26.5412,-77.0636,82.06,75,99,16.33,overcast clouds
251,Hadejia,NG,12.4498,10.0444,83.19,60,100,14.7,overcast clouds
252,Ilorin,NG,8.5,4.55,72.19,91,100,6.62,overcast clouds
253,Port Macquarie,AU,-31.4333,152.9167,61.9,61,55,8.48,broken clouds
254,Thessalon,CA,46.2501,-83.5666,72.36,91,100,3.71,overcast clouds
255,Ambon,ID,-3.6954,128.1814,80.74,89,40,1.14,light rain
256,Hudiksvall,SE,61.729,17.1036,62.42,95,100,3.78,light rain
257,Oka,CA,45.4649,-74.0889,76.95,87,0,5.66,clear sky
258,Seoul,KR,37.5683,126.9778,90.01,57,92,1.34,overcast clouds
259,Eenhana,NA,-17.4667,16.3333,53.13,40,0,10.6,clear sky
260,Tabuk,PH,17.4189,121.4443,83.7,71,90,3.49,overcast clouds
261,Ketchikan,US,55.3422,-131.6461,61.27,63,90,0.0,overcast clouds
262,Beloha,MG,-25.1667,45.05,66.02,78,100,9.4,overcast clouds
263,Freeport,US,40.6576,-73.5832,80.56,86,1,3.0,clear sky
264,Mackay,AU,-21.15,149.2,75.69,77,11,10.38,few clouds
265,Umm Kaddadah,SD,13.6017,26.6876,80.55,48,56,7.81,broken clouds
266,Wilmington,US,34.2257,-77.9447,80.96,80,1,3.44,clear sky
267,Thunder Bay,CA,48.4001,-89.3168,65.55,76,100,2.73,overcast clouds
268,Osoyoos,CA,49.0331,-119.4524,101.79,9,5,9.06,clear sky
269,Desaguadero,PE,-16.5656,-69.0417,44.96,63,62,2.24,broken clouds
270,Gafargaon,BD,24.4333,90.5667,82.38,87,100,5.19,overcast clouds
271,Pochutla,MX,15.7432,-96.4661,85.82,85,96,3.78,overcast clouds
272,Taoudenni,ML,22.6783,-3.9836,98.29,5,0,6.31,clear sky
273,Navirai,BR,-23.065,-54.1906,68.25,41,80,4.81,broken clouds
274,Ankang,CN,32.68,109.0172,79.66,77,100,1.72,light rain
275,Kulachi,PK,31.9286,70.4592,89.82,57,48,4.12,scattered clouds
276,Altamira,BR,-3.2033,-52.2064,77.97,73,98,2.21,overcast clouds
277,Meulaboh,ID,4.1363,96.1285,77.36,85,100,3.71,overcast clouds
278,Turukhansk,RU,65.8167,87.9833,58.5,50,97,9.95,overcast clouds
279,Jagadhri,IN,30.1667,77.3,81.19,73,100,4.72,overcast clouds
280,College,US,64.8569,-147.8028,67.21,74,98,12.21,overcast clouds
281,Luderitz,NA,-26.6481,15.1594,55.87,35,0,6.71,clear sky
282,Barao De Melgaco,BR,-16.1944,-55.9675,79.32,34,0,5.14,clear sky
283,Nuuk,GL,64.1835,-51.7216,45.88,100,90,10.36,mist
284,Belyy Yar,RU,53.6039,91.3903,67.89,83,0,4.47,light rain
285,Port-Gentil,GA,-0.7193,8.7815,74.59,78,77,11.56,broken clouds
286,Salalah,OM,17.0151,54.0924,80.69,89,75,6.91,broken clouds
287,Moron,AR,-34.6534,-58.6198,53.35,98,90,3.0,light intensity drizzle
288,Dutse,NG,11.7594,9.3392,76.42,75,100,10.09,light rain
289,Kimbe,PG,-5.5502,150.1429,90.54,56,98,6.58,overcast clouds
290,Pundaguitan,PH,6.3711,126.1689,83.35,71,85,5.39,overcast clouds
291,Mount Gambier,AU,-37.8333,140.7667,53.85,88,100,11.63,overcast clouds
292,Porto Santo,PT,33.072,-16.3415,68.38,77,75,12.66,broken clouds
293,Bima,ID,-8.4667,118.7167,80.42,59,100,7.38,overcast clouds
294,Gillette,US,44.2911,-105.5022,78.06,39,1,6.91,clear sky
295,Howell,US,42.6073,-83.9294,78.94,81,1,3.44,clear sky
296,Puro,PH,12.4841,123.3827,84.22,71,94,2.53,overcast clouds
297,Gravdal,NO,68.1214,13.5031,56.73,81,100,4.12,light rain
